symbol,sector,correlation_cluster
ADS.DE,CONSUMER_DISCRETIONARY,EU_CONSUMER
AIR.DE,INDUSTRIALS,GLOBAL_AEROSPACE
IFX.DE,SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS
RWE.DE,UTILITIES,EU_UTILITIES
EOAN.DE,UTILITIES,EU_UTILITIES
VOW3.DE,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
HEN3.DE,CONSUMER_STAPLES,EU_DEFENSIVE_CONSUMER
DHL.DE,INDUSTRIALS,EU_LOGISTICS
SHL.DE,HEALTHCARE,EU_HEALTHCARE
BEI.DE,CONSUMER_STAPLES,EU_DEFENSIVE_CONSUMER
CON.DE,AUTOMOTIVE,GLOBAL_AUTOMOTIVE
MTX.DE,INDUSTRIALS,GLOBAL_AEROSPACE
QIA.DE,HEALTHCARE,EU_HEALTHCARE
ENR.DE,INDUSTRIALS,EU_ELECTRICALS
ZAL.DE,CONSUMER_DISCRETIONARY,EU_CONSUMER
